epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,352.264,2.07321,1.57937,1.70239,0.52471,0.56,0.53803,0.17066,2.08787,1.68808,1.92276,0.0016238,0.0016238,0.0016238
97,355.675,2.01107,1.76698,1.82811,0.38256,0.64,0.50417,0.19066,1.96361,1.65865,1.83304,0.00161984,0.00161984,0.00161984
98,359.149,1.9657,1.60256,1.66921,0.52755,0.62562,0.622,0.22511,1.77463,1.45058,1.74528,0.00161588,0.00161588,0.00161588
99,362.678,1.9744,1.79712,1.6227,0.42302,0.61611,0.55733,0.22463,1.90778,2.07253,1.83893,0.00161192,0.00161192,0.00161192
100,366.08,1.85392,1.77712,1.68241,0.49567,0.55064,0.5416,0.18718,1.97257,2.0154,1.8123,0.00160796,0.00160796,0.00160796
101,369.475,2.02279,1.91699,1.80065,0.47386,0.75662,0.68376,0.24823,1.8881,1.71421,1.81696,0.001604,0.001604,0.001604
102,372.935,1.90458,1.64106,1.62858,0.50514,0.61274,0.5498,0.20297,1.88819,1.56322,1.75888,0.00160004,0.00160004,0.00160004
103,376.381,1.82984,1.80356,1.7114,0.46775,0.59767,0.48269,0.20106,2.16089,1.56795,1.85314,0.00159608,0.00159608,0.00159608
104,379.814,2.15009,1.88284,1.80991,0.49197,0.64,0.59969,0.27047,2.00007,1.7098,1.81984,0.00159212,0.00159212,0.00159212
105,383.257,2.0687,1.59829,1.66061,0.60004,0.6,0.62426,0.28688,1.91596,1.57995,1.84558,0.00158816,0.00158816,0.00158816
106,386.717,1.67789,1.84077,1.59263,0.6653,0.64,0.66806,0.23722,2.03653,1.56378,1.80384,0.0015842,0.0015842,0.0015842
107,390.131,1.89811,1.52524,1.61088,0.38228,0.52,0.47581,0.18377,1.95282,1.81023,1.78745,0.00158024,0.00158024,0.00158024
108,393.535,1.93207,1.65208,1.68397,0.38455,0.56,0.40139,0.20471,1.90717,1.72159,1.8513,0.00157628,0.00157628,0.00157628
109,396.956,1.82511,1.45298,1.67253,0.57522,0.70448,0.68299,0.29052,2.03756,1.56288,1.84598,0.00157232,0.00157232,0.00157232
110,400.383,1.79546,1.60597,1.58049,0.68892,0.64,0.68418,0.2869,1.87099,3.69629,1.68476,0.00156836,0.00156836,0.00156836
111,403.803,1.89671,1.57146,1.6215,0.57662,0.70849,0.67536,0.25626,1.81111,1.61619,1.73794,0.0015644,0.0015644,0.0015644
112,407.282,2.09381,1.66041,1.79722,0.49706,0.6,0.53264,0.18537,1.82108,1.68479,1.71213,0.00156044,0.00156044,0.00156044
113,410.806,1.86132,1.57116,1.61382,0.57179,0.52,0.64214,0.27043,1.84279,1.5928,1.75778,0.00155648,0.00155648,0.00155648
114,414.263,1.83119,1.43152,1.59897,0.53609,0.64,0.61443,0.20427,1.86254,1.43917,1.79959,0.00155252,0.00155252,0.00155252
115,417.693,1.86553,1.53926,1.65174,0.55444,0.69717,0.63249,0.23252,1.91414,1.50423,1.80456,0.00154856,0.00154856,0.00154856
116,421.115,1.82467,1.52808,1.58479,0.55627,0.80239,0.69272,0.26876,1.81622,1.41206,1.77464,0.0015446,0.0015446,0.0015446
117,424.549,1.72825,1.40998,1.5705,0.53931,0.60899,0.68397,0.29316,1.82648,1.53465,1.74163,0.00154064,0.00154064,0.00154064
118,427.985,1.79701,1.4234,1.62898,0.54907,0.76,0.59529,0.25828,1.94224,1.36206,1.81057,0.00153668,0.00153668,0.00153668
119,431.5,1.80494,1.47423,1.52803,0.59028,0.64,0.69199,0.30284,1.7899,1.53162,1.6884,0.00153272,0.00153272,0.00153272
120,434.919,1.97283,1.54396,1.72193,0.58304,0.72,0.71178,0.28946,1.91771,1.486,1.79996,0.00152876,0.00152876,0.00152876
121,438.35,1.95669,1.54694,1.68678,0.60966,0.76,0.69998,0.24542,2.01958,1.55088,1.82975,0.0015248,0.0015248,0.0015248
122,441.827,1.98474,1.48338,1.65586,0.72212,0.68,0.71995,0.30651,1.88801,1.4088,1.70318,0.00152084,0.00152084,0.00152084
