epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,329.701,2.18347,1.81395,2.38842,0.25684,0.73333,0.36963,0.18871,1.97166,15.2418,2.55152,0.0017426,0.0017426,0.0017426
93,332.956,2.27195,2.3097,2.34719,0.24072,0.6,0.34544,0.16076,2.08926,2.44201,2.61994,0.00173977,0.00173977,0.00173977
94,336.16,2.12974,2.05977,2.25021,0.3307,0.53333,0.38239,0.15172,2.36533,1.99594,2.83256,0.00173694,0.00173694,0.00173694
95,339.396,2.01995,1.80325,2.20079,0.50016,0.4,0.54885,0.27576,1.74564,1.66529,2.48881,0.00173411,0.00173411,0.00173411
96,342.665,2.00284,1.87299,2.27973,0.80904,0.66667,0.67695,0.32063,1.7348,1.91357,2.51229,0.00173129,0.00173129,0.00173129
97,346.03,2.27687,1.94254,2.41539,0.66593,0.46667,0.57353,0.23076,1.87135,2.05282,2.54659,0.00172846,0.00172846,0.00172846
98,349.237,2.29919,2.1472,2.48487,0.48794,0.6,0.52484,0.24715,1.92953,1.75219,2.56723,0.00172563,0.00172563,0.00172563
99,352.502,2.16575,1.88322,2.36021,0.64916,0.6,0.63024,0.30223,1.84565,2.01696,2.44902,0.0017228,0.0017228,0.0017228
100,355.786,1.98158,2.12515,2.23741,0.32573,0.46667,0.34351,0.16179,2.05164,6.35169,2.57108,0.00171997,0.00171997,0.00171997
101,359.047,2.06278,2.15581,2.31637,0.32498,0.6,0.39253,0.16783,1.75481,2.0901,2.50844,0.00171714,0.00171714,0.00171714
102,362.275,1.85489,1.9933,2.04787,0.44763,0.53333,0.59954,0.24739,1.88868,1.75168,2.49139,0.00171431,0.00171431,0.00171431
103,365.506,2.04436,1.92541,2.31831,0.44337,0.6,0.57037,0.23265,2.22847,1.66253,2.64419,0.00171149,0.00171149,0.00171149
104,368.71,2.02587,1.91294,2.26356,0.44511,0.46667,0.40725,0.17979,2.20555,2.00543,2.61337,0.00170866,0.00170866,0.00170866
105,371.992,2.19737,2.12067,2.34244,0.4105,0.4,0.45011,0.18962,1.8213,1.91202,2.51175,0.00170583,0.00170583,0.00170583
106,375.241,2.06275,1.93717,2.28863,0.37905,0.53333,0.42378,0.18367,2.20928,1.91179,2.6711,0.001703,0.001703,0.001703
107,378.521,2.08864,1.80189,2.35193,0.36325,0.53249,0.46243,0.18995,1.90921,2.51516,2.4372,0.00170017,0.00170017,0.00170017
108,381.791,2.17386,1.74958,2.36477,0.4445,0.53333,0.42527,0.18726,1.93237,2.89529,2.50064,0.00169734,0.00169734,0.00169734
109,385,2.08255,1.81756,2.31107,0.5677,0.61348,0.53988,0.25984,1.89314,1.56067,2.51056,0.00169451,0.00169451,0.00169451
110,388.215,1.88373,1.67363,2.05298,0.67646,0.53333,0.62716,0.24109,1.99986,1.97651,2.66257,0.00169169,0.00169169,0.00169169
111,391.443,2.03552,1.83606,2.42068,0.76274,0.43059,0.61664,0.26179,1.92639,1.62431,2.53589,0.00168886,0.00168886,0.00168886
112,394.641,2.23698,1.81304,2.36092,0.75908,0.4,0.59844,0.25854,1.90794,1.69716,2.54238,0.00168603,0.00168603,0.00168603
113,397.903,2.02478,1.74366,2.27941,0.7142,0.4,0.40499,0.16317,1.90365,5.66267,2.61614,0.0016832,0.0016832,0.0016832
114,401.136,1.92857,1.73066,2.22804,0.70167,0.4,0.46705,0.20973,1.97129,2.07195,2.60913,0.00168037,0.00168037,0.00168037
115,404.389,1.90322,1.91909,2.24087,0.24665,0.5241,0.36303,0.18405,1.98521,1.86544,2.57135,0.00167754,0.00167754,0.00167754
116,407.669,2.19041,1.89872,2.43405,0.28245,0.53333,0.37533,0.1723,1.97334,2.03764,2.57687,0.00167471,0.00167471,0.00167471
117,410.931,2.07383,1.80119,2.2373,0.56334,0.33333,0.43872,0.17558,2.07159,2.30556,2.6147,0.00167189,0.00167189,0.00167189
118,414.19,2.17929,1.98894,2.49987,0.4598,0.53333,0.47332,0.18669,2.22693,1.88194,2.8039,0.00166906,0.00166906,0.00166906
119,417.436,2.05818,1.69775,2.21186,0.65971,0.4,0.5724,0.17495,1.93572,6.66552,2.5225,0.00166623,0.00166623,0.00166623
120,420.639,2.24836,2.04119,2.31929,0.42289,0.53333,0.52509,0.17649,1.9131,1.59659,2.49135,0.0016634,0.0016634,0.0016634
